feature,legitimate_mean,fraud_mean,difference,fraud_median,legitimate_median
step,243.23566306029815,368.4138560818215,125.17819302152336,367.0,239.0
amount,178197.046875,1467967.375,1289770.375,441423.4375,74684.71875
oldbalanceOrg,832828.75,1649667.625,816838.875,438983.4375,14069.0
newbalanceOrig,855970.1875,192392.625,-663577.5625,0.0,0.0
oldbalanceDest,1101420.875,544249.625,-557171.25,0.0,133311.796875
newbalanceDest,1224925.625,1279707.625,54782.0,4676.419921875,214881.703125
amount_log,10.838223457336426,12.892026901245117,2.0538034439086914,12.997761726379395,11.221044540405273
is_high_value,0.00970318709519236,0.2397418726409351,0.23003868554574275,0.0,0.0
is_zero_amount,0.0,0.0019481310118105442,0.0019481310118105442,0.0,0.0
is_transfer,0.08321972451559996,0.4988432972117375,0.41562357269613753,0.0,0.0
is_cash_out,0.35147008997062984,0.5011567027882625,0.14968661281763268,1.0,0.0
is_payment,0.33858312821322273,0.0,-0.33858312821322273,0.0,0.0
is_cash_in,0.22020685801208514,0.0,-0.22020685801208514,0.0,0.0
is_debit,0.0065201992884623226,0.0,-0.0065201992884623226,0.0,0.0
origin_balance_change,-23141.515625,1457275.0,1480416.5,436317.5,0.0
origin_balance_error,-201338.578125,-10692.326171875,190646.25,0.0,-69049.3125
destination_balance_change,123504.8125,735458.0,611953.1875,0.0,0.0
destination_balance_error,-54692.23046875,-732509.3125,-677817.0625,-2231.4599609375,-3500.679931640625
abs_origin_balance_error,201338.578125,10692.3291015625,-190646.25,0.0,69049.3125
abs_destination_balance_error,92756.9765625,745138.625,652381.625,9511.6904296875,5123.10986328125
hour_of_day,15.32633336202733,11.546450748812857,-3.7798826132144736,12.0,16.0
day,9.496222070761284,14.869475222208694,5.373253151447409,15.0,9.0
